address,area,baths,beds,building type,latitude,longitude,neighborhood,price
6120 Riverdale Avenue,3900.0,6.0,7.0,Multi-family,40.91070175,-73.90270233,Riverdale,1100000.0
4233 Monticello Avenue,1260.0,N/A,3.0,House,40.89670181,-73.84069824,Bronx,470000.0
312 Swinton Avenue,1021.0,N/A,2.0,House,40.81819916,-73.82060242,Throgs Neck,388000.0
3039 Sedgwick Avenue,2040.0,N/A,5.0,House,40.87599945,-73.90059662,Kingsbridge Heights,580000.0
228 Hollywood Avenue,1600.0,3.0,5.0,Multi-family,40.81740189,-73.81410217,Throgs Neck,665000.0
328 East 239th Street,1656.0,2.0,4.0,House,40.90019989,-73.86640167,Woodlawn,549000.0
1358 Herschell Street,1783.0,N/A,6.0,House,40.83729935,-73.84480286,Westchester Village,485000.0
3646 Holland Avenue,3692.0,8.0,10.0,Multi-family,40.87990189,-73.86309814,Williamsbridge,799999.0
439 W.263rd Street,N/A,N/A,6.0,Multi-family,40.91270065,-73.90139771,Riverdale,910000.0
609 Kappock Street #5A,932.0,1.0,1.0,Co-op,40.87979889,-73.91629791,Spuyten Duyvil,250000.0
820 Saint Ouen Street,2753.0,N/A,6.0,Multi-family,40.90370178,-73.8470993,Bronx,650000.0
1136 Thieriot Avenue,2076.0,3.0,7.0,Multi-family,40.82899857,-73.86360168,Soundview,649000.0
2149 Quimby Avenue,2220.0,N/A,4.0,Multi-family,40.8260994,-73.85099792,Castle Hill,615000.0
3028 Kingsbridge Terrace,3740.0,2.0,9.0,Multi-family,40.87620163,-73.90139771,Kingsbridge Heights,950000.0
1349 Franklin Avenue #1D,785.0,N/A,2.0,Condo,40.83309937,-73.90139771,Claremont,220000.0
1602 Merry Avenue,1403.0,2.0,2.0,House,40.84320068,-73.82939911,Schuylerville,479000.0
747 East 217th Street,1205.0,3.0,4.0,Multi-family,40.88180161,-73.86180115,Williamsbridge,549000.0
416 East 237th Street,2865.0,4.0,4.0,House,40.89910126,-73.86440277,Woodlawn,599000.0
5650 Netherland Avenue #3C,750.0,1.0,1.0,Co-op,40.90520096,-73.90609741,Riverdale,134999.0
5275 Arlington Avenue,14600.0,N/A,11.0,House,40.90169907,-73.90859985,Riverdale,6999000.0
2961 Harding Avenue,1600.0,2.0,6.0,Multi-family,40.81669998,-73.81359863,Throgs Neck,699000.0
1516 Bantam Place,2700.0,3.0,5.0,House,40.86600113,-73.84249878,Pelham Gardens,699000.0
2500 Johnson Avenue #9G,1650.0,2.5,3.0,Co-op,40.87680054,-73.91770172,Spuyten Duyvil,679000.0
439 W.263rd Street,N/A,N/A,6.0,Multi-family,40.91270065,-73.90139771,Riverdale,910000.0
2917 Schurz Avenue,2088.0,N/A,4.0,Multi-family,40.81489944,-73.81430054,Throgs Neck,620000.0
1960 East Tremont Avenue #3B,686.0,1.0,1.0,Condo,40.83990097,-73.85990143,Parkchester,115000.0
2531 Cruger Avenue,2880.0,N/A,6.0,Multi-family,40.86420059,-73.86669922,Bronxwood,695000.0
3311 Giles Place #2A,750.0,1.0,1.0,Co-op,40.87889862,-73.89880371,Kingsbridge Heights,145000.0
3625 Oxford Avenue #6B,988.0,2.0,2.0,Condo,40.88729858,-73.9088974,Spuyten Duyvil,565000.0
4036 Edson Avenue,2112.0,3.0,6.0,Multi-family,40.89070129,-73.84349823,Edenwald,649000.0
3309 Delavall Avenue,1584.0,2.0,4.0,House,40.88079834,-73.82740021,Co-op City,389000.0
3930 Wilder Avenue,1672.0,N/A,3.0,House,40.88959885,-73.84030151,Edenwald,475000.0
2153 Belmont Avenue,2850.0,2.0,10.0,Multi-family,40.85020065,-73.88909912,East Tremont,699000.0
2015 Saint Paul Avenue #1F,500.0,1.0,1.0,Co-op,40.85269928,-73.82920074,Pelham Bay,95000.0
3927 De Reimer Avenue,1672.0,N/A,3.0,House,40.8893013,-73.84169769,Edenwald,475000.0
1826 Marmion Avenue,1412.0,N/A,3.0,House,40.84090042,-73.88880157,Crotona Park East,309000.0
4720 Grosvenor Avenue,5158.0,4.5,5.0,House,40.89670181,-73.9048996,Fieldston,3200000.0
2621 Palisade Avenue #14J,N/A,2.0,2.0,Co-op,40.88259888,-73.92150116,Spuyten Duyvil,750000.0
1430 Thieriot Avenue #4L,1100.0,2.0,3.0,Co-op,40.83750153,-73.86519623,Parkchester,175000.0
397 Pennyfield Avenue,630.0,1.0,2.0,House,40.81790161,-73.80999756,Throgs Neck,305000.0
4380 Vireo Avenue #4O,800.0,1.0,1.0,Co-op,40.90090179,-73.86260223,Woodlawn,135000.0
4D Carroll Street,500.0,1.0,1.0,House,40.84489822,-73.78970337,City Island,499000.0
6 Fordham Hill Oval #4G,893.0,1.0,2.0,Co-op,40.86520004,-73.90670013,University Heights,179000.0
2727 Tenbroeck Avenue,1088.0,2.0,2.0,House,40.86640167,-73.85320282,Laconia,430000.0
