address,area,baths,beds,building type,latitude,longitude,neighborhood,price
110-26 157th Street,N/A,N/A,4.0,House,40.69079971,-73.7928009,South Jamaica,489000.0
10 Holder Place #3D,1525.0,2.0,3.0,Co-op,40.71829987,-73.84279633,Forest Hills,1490000.0
61-20 Grand Central Pkwy #A405,1350.0,2.0,3.0,Co-op,40.7378006,-73.84750366,Forest Hills,589000.0
205-28 116th Rd,N/A,2.0,3.0,House,40.69639969,-73.74700165,St. Albans,439000.0
91-66 110th Street,1134.0,2.5,3.0,Multi-family,40.69229889,-73.83630371,Richmond Hill,649000.0
27-28 Thomson Avenue #542,1178.0,1.5,1.0,Condo,40.74570084,-73.94180298,Hunters Point,1295000.0
72-74 Calamus Avenue,N/A,2.5,5.0,House,40.73450089,-73.88960266,Elmhurst,1148000.0
4-74 48th Avenue #5C,427.0,1.0,N/A,Condop,40.7445,-73.9565,Hunters Point,455000.0
116-23 125th Street #40D,N/A,1.5,3.0,House,40.67610168,-73.81300354,South Ozone Park,399000.0
116-23 125th Street #40D,N/A,1.5,3.0,House,40.67610168,-73.81300354,South Ozone Park,399000.0
116-23 125th Street #40D,N/A,1.5,3.0,House,40.67610168,-73.81300354,South Ozone Park,399000.0
116-23 125th Street #40D,N/A,1.5,3.0,House,40.67610168,-73.81300354,South Ozone Park,399000.0
116-23 125th Street #40D,N/A,1.5,3.0,House,40.67610168,-73.81300354,South Ozone Park,399000.0
116-23 125th Street #40D,N/A,1.5,3.0,House,40.67610168,-73.81300354,South Ozone Park,399000.0
116-23 125th Street #40D,N/A,1.5,3.0,House,40.67610168,-73.81300354,South Ozone Park,399000.0
27-21 44th Dr #2202,1263.0,2.0,3.0,Condo,40.7466011,-73.94159698,Hunters Point,1760000.0
25-26 78th Street,1723.0,2.0,3.0,Multi-family,40.76190186,-73.89060211,Jackson Heights,500000.0
168-01 32nd Avenue,N/A,N/A,4.0,House,40.76910019,-73.79699707,Murray Hill (Queens),1120000.0
50-04 65th Place,1700.0,N/A,7.0,Multi-family,40.73680115,-73.90029907,Elmhurst,1350000.0
50-14 48th Street,1760.0,N/A,5.0,Multi-family,40.73680115,-73.91829681,Sunnyside,988800.0
67-76 Booth Street #2I,1100.0,1.0,2.0,Co-op,40.72449875,-73.85209656,Forest Hills,395000.0
161-21 120th Avenue,N/A,2.0,3.0,House,40.68030167,-73.78179932,South Jamaica,679000.0
73-11 Bell Boulevard #2B,800.0,1.0,1.0,Co-op,40.7397995,-73.75730133,Bayside,209900.0
701 College Point Boulevard,N/A,2.0,4.0,Multi-family,40.79069901,-73.84519958,College Point,725000.0
212-30 23rd Avenue #6K,N/A,2.0,2.0,Co-op,40.78170013,-73.77680206,Bay Terrace (Queens),364888.0
34-51 64th Street,N/A,3.0,3.0,Multi-family,40.75080109,-73.89849854,Woodside,1088888.0
43-25 Douglaston Parkway #1C,N/A,2.0,2.0,Co-op,40.76699829,-73.74559784,Little Neck,449000.0
258-03 Craft Avenue,N/A,N/A,3.0,House,40.6515007,-73.73069763,Rosedale,389000.0
83-80 118th Street #4N,975.0,1.0,2.0,Co-op,40.70479965,-73.83439636,Kew Gardens,288000.0
4-74 48th Avenue #30F,863.0,1.0,1.0,Condop,40.74420166,-73.95680237,Hunters Point,665000.0
27-21 44th Dr #2202,1263.0,2.0,3.0,Condo,40.7466011,-73.94159698,Hunters Point,1760000.0
14-21 Pinson Street,4000.0,4.0,6.0,House,40.60889816,-73.75509644,Far Rockaway,499000.0
13105 40th Rd #PH1C,787.0,1.0,1.0,Condo,40.11240005,-77.51959991,Queens,789000.0
198-07 Dunton Avenue #2B,670.0,1.0,1.0,Co-op,40.72090149,-73.76540375,Jamaica Estates,199000.0
61-05 39th Avenue #E4,745.0,1.0,1.0,Condo,40.74729919,-73.90219879,Woodside,555000.0
147-18 Hawthorne Avenue,N/A,N/A,6.0,Multi-family,40.75490189,-73.813797,Queensboro Hill,1350000.0
25-26 78th Street,1723.0,2.0,3.0,Multi-family,40.76190186,-73.89060211,Jackson Heights,500000.0
140-52 161st Street,1152.0,2.0,3.0,House,40.66870117,-73.77459717,Springfield Gardens,399000.0
85-36 Parsons Boulevard,N/A,N/A,4.0,Multi-family,40.71110153,-73.8062973,Briarwood,929990.0
140-52 161st Street,2042.0,2.0,3.0,House,40.66870117,-73.77459717,Springfield Gardens,399000.0
123-06 23rd Avenue,N/A,1.0,2.0,House,40.77840042,-73.84490204,College Point,550000.0
79-39 Calamus Avenue #4D,1194.0,3.0,3.0,Condo,40.73419952,-73.88549805,Elmhurst,609000.0
117-37 Van Wyck Expy,1552.0,2.0,3.0,House,40.67689896,-73.80180359,South Jamaica,330000.0
4-74 48th Avenue #31HJ,1560.0,2.0,3.0,Condop,40.74420166,-73.95680237,Hunters Point,1299000.0
10-27 47th Road #PHB,1581.0,3.0,3.0,Condo,40.74480057,-73.95220184,Hunters Point,2175000.0
4238 Judge Street #5B,780.0,2.0,1.0,Condo,40.7439003,-73.88009644,Elmhurst,499000.0
38-30 Douglaston Pky #4H,N/A,1.0,1.0,Co-op,40.77159882,-73.75099945,Little Neck,298000.0
87-88 144th Street,N/A,3.0,6.0,Multi-family,40.70460129,-73.81199646,Jamaica,950000.0
81-25 156th Avenue #1,N/A,1.0,3.0,Co-op,40.66350174,-73.85040283,Lindenwood,224000.0
133-26 245th Street,N/A,3.0,3.0,House,40.67359924,-73.72910309,Rosedale,499990.0
67-38 108th Street #C67,950.0,1.0,2.0,Co-op,40.72769928,-73.84770203,Forest Hills,399000.0
114-03 Inwood Street,1600.0,1.5,3.0,Townhouse,40.68500137,-73.79789734,Jamaica,150000.0
2 Point Crescent,N/A,N/A,5.0,House,40.79100037,-73.82969666,Malba,2649000.0
104-12 104th Street,N/A,3.0,5.0,Multi-family,40.68149948,-73.83709717,Richmond Hill,989000.0
4 Point Crescent,N/A,4.0,5.0,House,40.79090118,-73.83000183,Malba,3659000.0
198-08 Pompeii Avenue #1,N/A,1.0,1.0,Co-op,40.72090149,-73.76540375,Jamaica Estates,170000.0
213-08 73rd Avenue #1N,N/A,1.0,1.0,Condo,40.73949814,-73.76049805,Oakland Gardens,181888.0
61-20 Grand Central Pkwy #A405,1350.0,2.0,3.0,Co-op,40.7378006,-73.84750366,Forest Hills,589000.0
81-23 102nd Avenue,N/A,2.5,3.0,House,40.68050003,-73.85669708,Woodhaven,639000.0
38-25 Parsons Boulevard #7,1200.0,2.0,3.0,Co-op,40.76210022,-73.82180023,Murray Hill (Queens),558000.0
150-07 Reeves Avenue,N/A,N/A,3.0,House,40.73899841,-73.81960297,Kew Gardens Hills,998000.0
6119 Grand Avenue,N/A,2.0,4.0,Multi-family,40.72249985,-73.90350342,Maspeth,1180000.0
79-58 68th Rd,N/A,2.0,3.0,Multi-family,40.71030045,-73.87120056,Glendale,819000.0
114-20 Queens Boulevard #E9,950.0,1.0,2.0,Co-op,40.71649933,-73.83480072,Forest Hills,359000.0
118-42 200th Street,N/A,2.0,4.0,Multi-family,40.69210052,-73.75180054,St. Albans,399900.0
143-51 Franklin Avenue,2748.0,4.5,4.0,House,40.7582016,-73.8207016,Flushing,1680000.0
100-25 Queens Boulevard #4H,1400.0,2.0,3.0,Condo,40.72700119,-73.85230255,Forest Hills,750000.0
109-14 Ascan Avenue #1F,N/A,1.0,1.0,Co-op,40.71860123,-73.83999634,Forest Hills,299000.0
33-02 Parsons Boulevard,3775.0,N/A,5.0,House,40.76789856,-73.82460022,Queensboro Hill,2900000.0
162-21 Powells Cove Boulevard #3E,1000.0,1.0,2.0,Co-op,40.79499817,-73.79850006,Beechhurst,379000.0
79-15 35th Avenue #4C,1050.0,1.0,2.0,Condo,40.75180054,-73.88690186,Jackson Heights,730000.0
91-16 Shorefront Pkwy #2H,1187.0,2.0,2.0,Condo,40.58459854,-73.81340027,Hammels,529000.0
10-27 47th Road #PHB,1581.0,3.0,3.0,Condo,40.74480057,-73.95220184,Hunters Point,2175000.0
196-19 Station Rd,N/A,N/A,2.0,House,40.76160049,-73.78549957,East Flushing,699000.0
144-25 South Dr,N/A,5.0,4.0,House,40.7901001,-73.82520294,Malba,2898000.0
85-16 88th Avenue,N/A,N/A,3.0,Multi-family,40.69070053,-73.85780334,Woodhaven,750000.0
68-21 76th Street,N/A,N/A,4.0,Multi-family,40.71030045,-73.87599945,Glendale,589000.0
20-40 29th Street,N/A,3.0,3.0,Multi-family,40.77970123,-73.90850067,Astoria,1164000.0
86-09 88th Avenue,N/A,N/A,4.0,House,40.69110107,-73.85720062,Woodhaven,608000.0
108-05 Astoria Boulevard #1A,N/A,1.0,1.0,Co-op,40.76060104,-73.8608017,East Elmhurst,220000.0
107-33 Princeton Street,N/A,2.0,3.0,Multi-family,40.69142,-73.8029,South Jamaica,409000.0
85-01 87th Street,N/A,3.0,6.0,Multi-family,40.69540024,-73.85780334,Woodhaven,1199999.0
57-50 Little Neck Pky,1396.0,N/A,5.0,Multi-family,40.76250076,-73.72370148,Little Neck,1100000.0
65-01 Woodside Avenue,N/A,2.0,4.0,Multi-family,40.7439003,-73.89980316,Woodside,1300000.0
144-07 Sanford Avenue #1D,800.0,1.0,1.0,Co-op,40.75930023,-73.82050323,Murray Hill (Queens),338000.0
137-33 68th Drive #B,665.0,1.0,2.0,Co-op,40.73109818,-73.82980347,Kew Gardens Hills,175000.0
140-50 Burden Crescent #5H,900.0,1.0,1.5,Co-op,40.71060181,-73.81659698,Briarwood,239000.0
87-31 109th Street,1500.0,N/A,5.0,House,40.69509888,-73.83809662,Richmond Hill,799000.0
76-50 47th Avenue #1ST,N/A,5.0,8.0,Multi-family,40.73970032,-73.88629913,Elmhurst,1658000.0
218-49 Sawyer Avenue,N/A,3.5,4.0,Multi-family,40.73099899,-73.74700165,Queens Village,848000.0
64-34 102nd Street #5O,N/A,1.0,1.0,Co-op,40.73059845,-73.85350037,Rego Park,245000.0
64-20 Bell Boulevard,2328.0,2.0,3.0,House,40.74530029,-73.76080322,Bayside,950000.0
140-05 32nd Avenue,N/A,N/A,3.0,House,40.76879883,-73.82830048,Flushing,1390000.0
140-03 32nd Avenue,N/A,N/A,3.0,House,40.76869965,-73.82839966,Flushing,1390000.0
83-20 98th Street #4C,N/A,1.0,2.0,Co-op,40.69940186,-73.8513031,Woodhaven,289000.0
140 Prospect Avenue,N/A,3.5,3.0,House,40.77230072,-73.74790192,Douglaston,1580000.0
18-50 211th Street #3C,N/A,1.0,2.0,Co-op,40.78039932,-73.78199768,Bay Terrace (Queens),339000.0
118-36 219th Street,N/A,2.0,5.0,House,40.69290161,-73.74269867,Cambria Heights,609000.0
10740 Queens Boulevard #18D,589.0,1.0,N/A,Co-op,40.72129822,-73.84500122,Forest Hills,368000.0
116-41 227th Street,N/A,2.0,3.0,House,40.69369888,-73.73349762,Cambria Heights,515000.0
140-50 Burden Crescent #5H,900.0,1.0,1.5,Co-op,40.71060181,-73.81659698,Briarwood,239000.0
253-46 147th Avenue,N/A,N/A,3.0,House,40.65729904,-73.73459625,Rosedale,455000.0
32-28 163rd Street,N/A,N/A,3.0,House,40.76839828,-73.8022995,Murray Hill (Queens),1080000.0
229-17 56th Avenue,N/A,N/A,3.0,House,40.75550079,-73.75099945,Bayside,957777.0
141-11 71st Rd,N/A,1.0,2.0,House,40.72700119,-73.8239975,Kew Gardens Hills,688000.0
