"address","area","baths","beds","buildingtype","latitude","longitude","neighborhood","price","borough","pricearea","coastdist"
"40 East 78th Street 4G-AND-SR9",1635,2.5,2,"Condo",40.775275,-73.962393,"Upper East Side",3250000,"manhattan",1987.7675841,842.97504004981
"61 Irving Place #1A",1200,2,2,"Co-op",40.73649979,-73.98729706,"Gramercy Park",1600000,"manhattan",1333.33333333,1121.31866236946
"314 West 22nd Street #4",1200,1,2,"Co-op",40.74480057,-73.99990082,"Chelsea",2100000,"manhattan",1750,466.284027506451
"15 West 53rd Street #35A",2248,2.5,3,"Condo",40.76139832,-73.97750092,"Midtown",4395000,"manhattan",1955.07117438,1150.45798861349
"380 Rector Place #8D",704,1,1,"Condo",40.70909882,-74.01809692,"Battery Park City",880000,"manhattan",1250,195.226915636028
"70 Vestry Street #11N",5003,7.5,6,"Condo",40.722927,-74.011038,"Tribeca",2.6e+07,"manhattan",5196.88187088,147.154262662879
"300 East 40th Street #25P",780,1,1,"Condop",40.7480011,-73.97280121,"Murray Hill",935555,"manhattan",1199.42948718,332.396459896254
"50 West Street #48A",1734,3,2,"Condo",40.70769882,-74.01499939,"Financial District",4165000,"manhattan",2401.96078431,39.9108740100734
"110 3rd Avenue #14C",1450,2.5,3,"Condo",40.73300171,-73.9878006,"East Village",3250000,"manhattan",2241.37931034,1157.42718039092
"250 South End Avenue #16B",1174,2,2,"Condo",40.70970154,-74.01609802,"Battery Park City",1428000,"manhattan",1216.35434412,60.6208280908538
"440 East 79th Street #3F",800,1,1,"Co-op",40.77149963,-73.95140076,"Upper East Side",795000,"manhattan",993.75,53.7844804425085
"416 West 52nd Street #705",958,2,2,"Condo",40.76480103,-73.9890976,"Hell's Kitchen",1603000,"manhattan",1673.2776618,446.130925138614
"108 West 80th Street",6000,9,8,"Multi-family",40.78269958,-73.97579956,"Upper West Side",9e+06,"manhattan",1500,513.164233274861
"157 W 57th Street #37A",1060,1.5,1,"Condo",40.76539993,-73.97910309,"Midtown",5050000,"manhattan",4764.1509434,998.527318013625
"80 Columbus Circle #72C",3170,4.5,4,"Condo",40.76819992,-73.9822998,"Lincoln Square",22500000,"manhattan",7097.79179811,699.458348038015
"416 West 52nd Street #406",1386,2,2,"Condo",40.76480103,-73.9890976,"Hell's Kitchen",1950000,"manhattan",1406.92640693,446.130925138614
"108 West 138th Street #4A",650,1,1,"Condo",40.81620026,-73.94039917,"Central Harlem",519000,"manhattan",798.461538462,37.4645866029449
"393 West 49th Street #2JJ",752,1,1,"Condo",40.762832,-73.988952,"Hell's Kitchen",1100000,"manhattan",1462.76595745,535.092004665817
"5 Beekman Street #47B",1572,2.5,2,"Condo",40.71120071,-74.00689697,"Fulton/Seaport",3975000,"manhattan",2528.6259542,573.472185881945
"5 Beekman Street #47A",1624,2.5,2,"Condo",40.71120071,-74.00689697,"Fulton/Seaport",3900000,"manhattan",2401.47783251,573.472185881945
"415 Main Street #9C",1100,2,2,"Condo",40.76139832,-73.94960022,"Roosevelt Island",1450000,"manhattan",1318.18181818,462.213828161023
"150 East 61st Street #7H",1500,2,3,"Co-op",40.76309967,-73.96700287,"Lenox Hill",1500000,"manhattan",1000,613.043094210035
"146 West 82nd Street #3C",1200,2,2,"Co-op",40.78440094,-73.97589874,"Upper West Side",1495000,"manhattan",1245.83333333,443.273080776163
"272 West 86th Street #THE",3403,4.5,4,"Condo",40.78839874,-73.97720337,"Upper West Side",5950000,"manhattan",1748.45724361,215.44599686618
"515 East 72nd Street #18E",650,1,1,"Condo",40.76689911,-73.95269775,"Upper East Side",1099000,"manhattan",1690.76923077,58.8404207413857
"215 East 19th Street #6A",1325,2,1,"Condo",40.73630142,-73.98390198,"Gramercy Park",2460000,"manhattan",1856.60377358,868.375233522245
"272 West 86th Street #PH",4333,5.5,6,"Condo",40.78839874,-73.97720337,"Upper West Side",9950000,"manhattan",2296.33048696,215.44599686618
"845 United Nations Plaza #78C",2702,3.5,3,"Condo",40.75249863,-73.96779633,"Turtle Bay",7995000,"manhattan",2958.91931902,226.554068965787
"50 West Street #20A",1167,1.5,1,"Condo",40.70769882,-74.01499939,"Financial District",2149000,"manhattan",1841.47386461,39.9108740100734
"1 West End Avenue #20B",903,1.5,1,"Condo",40.772022,-73.990588,"Lincoln Square",1832500,"manhattan",2029.34662237,64.7358185832376
"20 West Street #39A",500,1,1,"Condo",40.70619965,-74.01560211,"Financial District",849000,"manhattan",1698,14.3140408704801
