address,area,baths,beds,building type,latitude,longitude,neighborhood,price
50 Greenpoint Avenue #6J,711.0,1.0,1.0,Condo,40.72940063,-73.95899963,Greenpoint,925000.0
1160 Union Street,2580.0,3.5,5.0,Multi-family,40.66880035,-73.95300293,Crown Heights,2199000.0
2212 Brigham Street #6H,840.0,1.0,1.0,Co-op,40.59780121,-73.93509674,Homecrest,149000.0
30 Main Street #3C,1689.0,2.5,2.0,Condo,40.70299911,-73.9910965,DUMBO,2150000.0
342 50th Street,2520.0,3.0,6.0,Multi-family,40.64699936,-74.01370239,Sunset Park,1280000.0
224 Amherst Street,4592.0,3.5,4.0,House,40.57630157,-73.95200348,Manhattan Beach,2350000.0
1 Montana Place,3132.0,3.0,4.0,House,40.60689926,-73.90319824,Mill Basin,1379000.0
246 Sumpter Street #1B,990.0,1.0,2.0,Condo,40.68040085,-73.91449738,Ocean Hill,399000.0
242 Kingsland #1,4875.0,6.0,12.0,Multi-family,40.72499847,-73.94139862,Greenpoint,3400000.0
251 1st Street #7A,1621.0,2.5,3.0,Condo,40.67520142,-73.98429871,Park Slope,2600000.0
355A Halsey Street #GARDEN,986.0,2.0,2.0,Condo,40.68320084,-73.93849945,Stuyvesant Heights,915000.0
28 Angela Dr,2088.0,2.5,3.0,House,40.59159851,-73.96579742,Gravesend,969000.0
1613 Bergen Street #2,1445.0,2.0,3.0,Multi-family,40.67520142,-73.92970276,Weeksville,700000.0
153 Garfield Place #3L,862.0,1.0,2.0,Condo,40.6734,-73.978723,Park Slope,920000.0
77 Macon Street,2882.0,4.0,6.0,Townhouse,40.68149948,-73.94809723,Bedford-Stuyvesant,1595000.0
1719 East 33rd Street,3312.0,3.0,5.0,House,40.61289978,-73.93840027,Marine Park,1250000.0
32 Maspeth Avenue #2A,538.0,1.0,1.0,Condo,40.71519852,-73.9414978,Williamsburg,699000.0
35 McDonald Avenue #PH5A,1796.0,2.0,2.0,Condo,40.65420151,-73.98120117,Windsor Terrace,1490000.0
138 Pierrepont Street #3B,2798.0,3.5,2.0,Condo,40.69459915,-73.99210358,Brooklyn Heights,2775000.0
125 N 10th Street #S2H,807.0,1.0,1.0,Condo,40.72019958,-73.95649719,Williamsburg,899000.0
939 Union Street #8A,1222.0,2.0,2.0,Condo,40.67340088,-73.97200012,Park Slope,1420000.0
2741 E 28th Street #3J,1000.0,1.0,2.0,Co-op,40.58639908,-73.94029999,Sheepshead Bay,265000.0
280 Sackett Street #1,2194.0,3.0,3.0,Condo,40.68330002,-73.99680328,Carroll Gardens,2250000.0
21 Goodwin Place #TWNHSE,3864.0,3.0,9.0,Townhouse,40.69189835,-73.92410278,Bushwick,1750000.0
280 Metropolitan Avenue #PHD,1698.0,3.0,3.0,Condo,40.71440125,-73.95829773,Williamsburg,3395000.0
1728 Coleman Street,1800.0,3.0,3.0,House,40.61619949,-73.93280029,Marine Park,899000.0
82 Central Avenue,3900.0,4.0,7.0,Multi-family,40.70080185,-73.93019867,Bushwick,1929000.0
100 Jay Street #32B,791.0,1.0,1.0,Condo,40.702283,-73.986935,DUMBO,1195000.0
1150 Brighton Beach Avenue #3O,825.0,1.0,1.0,Co-op,40.57709885,-73.95529938,Brighton Beach,355000.0
4104 Manhattan Avenue,2052.0,2.5,4.0,Multi-family,40.57699966,-74.00980377,Seagate,735000.0
1914 W 11th Street,1952.0,1.5,4.0,House,40.60020065,-73.98329926,Gravesend,1188000.0
601A Surf Avenue #7A,700.0,1.0,1.0,Condo,40.57580185,-73.97450256,Coney Island,419000.0
330 Bergen Street #3C,1321.0,2.0,3.0,Condo,40.68280029,-73.98100281,Boerum Hill,1645000.0
46 Butler Street #LL,1295.0,2.0,3.0,Condo,40.68429947,-73.99310303,Cobble Hill,1750000.0
310 101st Street #43D,600.0,1.0,1.0,Co-op,40.61259842,-74.03520203,Fort Hamilton,338000.0
505 Court Street #3B,1133.0,1.0,2.0,Condo,40.675586,-73.998674,Carroll Gardens,1150000.0
735 Avenue W #1B,850.0,1.0,2.0,Co-op,40.59389877,-73.96219635,Sheepshead Bay,289000.0
2695 Shell Road #3C,1109.0,2.0,2.0,Condo,40.58620071,-73.97409821,Gravesend,639900.0
2155 82nd Street #5F,800.0,1.0,1.0,Co-op,40.60480118,-73.99199677,Bensonhurst,269900.0
2299 East 13th Street #1H,1200.0,2.0,3.0,Co-op,40.59420013,-73.9571991,Homecrest,424900.0
2969 Brighton 1st Street #4,1375.0,3.0,4.0,Condo,40.57889938,-73.96640015,Brighton Beach,899000.0
3047 Brighton 6th Street #2A,1181.0,2.0,2.0,Condo,40.57839966,-73.96150208,Brighton Beach,670500.0
894 Linden Boulevard,1756.0,2.5,7.0,House,40.65399933,-73.92459869,Northeast Flatbush,575000.0
2032 West 13th Street,2088.0,2.5,7.0,Multi-family,40.59719849,-73.98449707,Gravesend,1380000.0
1269 Herkimer Street,2700.0,3.0,8.0,House,40.67779922,-73.91149902,Ocean Hill,1100000.0
596 2nd Street,4492.0,3.0,6.0,Multi-family,40.66949844,-73.97519684,Park Slope,3999999.0
149 Prospect Park Southwest #12,900.0,1.0,3.0,Co-op,40.65510178,-73.97380066,Windsor Terrace,739000.0
731 68th Street,1402.0,2.5,3.0,House,40.63140106,-74.01490021,Dyker Heights,798000.0
179 Bay 8th Street,2055.0,2.0,4.0,House,40.60800171,-74.01380157,Bath Beach,1225988.0
2683 East 26th Street,3351.0,3.5,7.0,House,40.58720016,-73.94300079,Sheepshead Bay,1499900.0
929 81st Street,1464.0,1.5,3.0,House,40.62179947,-74.01879883,Dyker Heights,1180000.0
8504 14th Avenue,1400.0,1.5,2.0,House,40.61330032,-74.01139832,Dyker Heights,865000.0
174 Vanderbilt Avenue #308,1117.0,2.0,2.0,Condo,40.69210052,-73.9701004,Fort Greene,1200000.0
100 Jay Street #21B,791.0,1.0,1.0,Condo,40.70199966,-73.98709869,DUMBO,1100000.0
1150 78th Street,1275.0,1.0,3.0,House,40.62030029,-74.01249695,Dyker Heights,785000.0
432 East 48th Street,2000.0,1.0,3.0,House,40.65129852,-73.93260193,Northeast Flatbush,499000.0
154 10th Street,990.0,1.5,4.0,House,40.67129898,-73.99299622,Gowanus,1199000.0
378 Halsey Street,3200.0,4.0,7.0,Multi-family,40.68289948,-73.93900299,Stuyvesant Heights,2450000.0
651 East 94th Street,2500.0,3.0,5.0,Multi-family,40.65219879,-73.91400146,Canarsie,746342.0
319 Schermerhorn Street #PH21A,2077.0,3.0,3.0,Multi-family,40.6875,-73.98149872,Downtown Brooklyn,3271275.0
319 Schermerhorn Street #6D,1115.0,2.0,2.0,Multi-family,40.6875,-73.98149872,Downtown Brooklyn,1437681.0
319 Schermerhorn Street #9D,1115.0,2.0,2.0,Multi-family,40.6875,-73.98149872,Downtown Brooklyn,1493877.0
319 Schermerhorn Street #16A,1651.0,2.5,3.0,Multi-family,40.6875,-73.98149872,Downtown Brooklyn,2554400.0
319 Schermerhorn Street #18B,1206.0,2.0,2.0,Multi-family,40.6875,-73.98149872,Downtown Brooklyn,1837530.0
1220 77 Th Street,975.0,2.0,2.0,House,40.61989975,-74.01049805,Dyker Heights,799000.0
1511 East 22nd Street,2867.0,3.5,5.0,House,40.6147995,-73.95220184,Midwood,1200000.0
22 North 6th Street #3M,862.0,2.0,2.0,Condo,40.71969986,-73.96219635,Williamsburg,1595000.0
326 East 9th,2800.0,4.0,8.0,Multi-family,40.6405983,-73.97039795,Kensington,1199000.0
39 Park Place #2,2046.0,2.5,3.0,Condo,40.6794014,-73.97699738,Park Slope,3200000.0
306 Bond Street,9100.0,12.0,12.0,Multi-family,40.6794014,-73.98989868,Gowanus,8499000.0
971 Jerome Street #2B,643.0,1.0,1.0,Condo,40.65769958,-73.8769989,New Lots,235000.0
80 Lefferts Place #2A,1263.0,2.0,2.0,Condo,40.681178,-73.960263,Clinton Hill,1350000.0
37 West End Avenue #3B,1237.0,2.0,2.0,Condo,40.58069992,-73.95330048,Manhattan Beach,965000.0
2943 Brighton 4th Street #8A,1233.0,2.0,3.0,Condo,40.58000183,-73.96399689,Brighton Beach,799000.0
1713 East 14th Street #APTG,750.0,1.0,2.0,Co-op,40.60770035,-73.95880127,Homecrest,245000.0
46 1st Place,5800.0,4.5,6.0,Multi-family,40.68069839,-73.9992981,Carroll Gardens,5500000.0
184 Kent Avenue #C602,893.0,2.0,2.0,Condo,40.71860123,-73.96459961,Williamsburg,1470000.0
275 Webster Avenue #1A,650.0,1.0,1.0,Co-op,40.63299942,-73.97090149,Kensington,299000.0
305 Washington Avenue,1000.0,1.0,2.0,House,40.68980026,-73.96579742,Clinton Hill,420000.0
150 West End Avenue #11B,800.0,1.0,1.0,Co-op,40.57820129,-73.95339966,Brighton Beach,279000.0
30 Diamond Street,1700.0,2.0,4.0,House,40.72389984,-73.94560242,Greenpoint,1800000.0
100 Maspeth Avenue #4F,710.0,2.0,2.0,Condo,40.71569824,-73.93930054,East Williamsburg,775000.0
319 Schermerhorn Street #9C,632.0,1.0,1.0,Multi-family,40.6875,-73.98149872,Downtown Brooklyn,863344.0
552 Carlton Avenue,2400.0,2.5,4.0,House,40.68050003,-73.97160339,Prospect Heights,2300000.0
2170 West 6th Street,2500.0,1.0,3.0,House,40.59479904,-73.9776001,Gravesend,599000.0
14 Monitor Street #1C,831.0,1.5,1.0,Condo,40.71960068,-73.94129944,Williamsburg,679500.0
243 78th Street #5H,750.0,1.0,1.0,Co-op,40.62979889,-74.0298996,Bay Ridge,369000.0
171 Cooper Street,4124.0,4.0,10.0,House,40.68859863,-73.90679932,Bushwick,1250000.0
365 Bridge Street #11I,1423.0,2.0,2.0,Condo,40.69260025,-73.98500061,Downtown Brooklyn,1575000.0
829 Putnam Avenue,4075.0,4.0,10.0,Multi-family,40.6867981,-73.92829895,Stuyvesant Heights,2599000.0
170 N 11th Street #6D,1251.0,2.0,2.0,Condo,40.71960068,-73.95500183,Williamsburg,1749000.0
287 Grand Street #2A,1200.0,2.0,2.0,Condo,40.71319962,-73.95749664,Williamsburg,1595000.0
424 10th Street,2160.0,3.0,4.0,Multi-family,40.66770172,-73.98549652,Park Slope,2495000.0
221A Prospect Avenue,2194.0,2.0,4.0,Multi-family,40.66469955,-73.99120331,Park Slope,1595000.0
69 Eldert Street,5200.0,3.5,11.0,Multi-family,40.68719864,-73.91300201,Bushwick,1895000.0
8622 Bay Parkway #3F,1280.0,2.0,2.0,Condo,40.60160065,-73.99459839,Bath Beach,768000.0
970 Kent Avenue #PH1,1327.0,2.5,2.0,Condo,40.69129944,-73.95909882,Bedford-Stuyvesant,1375000.0
332 39th Street,1440.0,3.5,6.0,Multi-family,40.65319824,-74.00769806,Sunset Park,999999.0
3924 Ninth Avenue,2400.0,4.0,3.0,Multi-family,40.64559937,-73.9957962,Sunset Park,2080000.0
1620 Prospect Place,3300.0,4.0,8.0,Multi-family,40.672559,-73.922858,Weeksville,995000.0
2129 East 15th Street,2000.0,4.0,7.0,Multi-family,40.59808,-73.95601,Homecrest,1380000.0
107 Newport Street,1944.0,5.0,6.0,Multi-family,40.65922,-73.91146,Brownsville,749000.0
1143 Ocean Pkwy,1380.0,2.0,6.0,House,40.6208,-73.96918,Ocean Parkway,1375000.0
718 East 99th Street,704.0,1.0,2.0,House,40.645686,-73.900516,Canarsie,299000.0
664 Lafayette Avenue #1,1782.0,3.5,4.0,Condo,40.690508,-73.947788,Bedford-Stuyvesant,1595000.0
509 Pacific Street #PH2A,1733.0,2.5,3.0,Condo,40.68489838,-73.98069763,Boerum Hill,3295000.0
1016 Ocean Parkway,3220.0,3.0,7.0,Multi-family,40.62369919,-73.97100067,Ocean Parkway,2999999.0
10206 Avenue K,1560.0,2.0,3.0,Multi-family,40.64276,-73.89285,Canarsie,329000.0
738 East 40th Street,1520.0,1.5,2.0,House,40.63751,-73.93883,Farragut,539000.0
1882 Stuart Street,1890.0,2.0,3.0,House,40.607141,-73.940107,Sheepshead Bay,860000.0
1730 East 37th Street,1064.0,1.0,2.0,House,40.614392,-73.93562,Marine Park,529000.0
245 16th Street #6,1270.0,1.0,1.5,Condo,40.66439819,-73.98829651,Park Slope,865000.0
121 28th Avenue,3384.0,3.0,8.0,Multi-family,40.587828,-73.986547,Gravesend,1348000.0
1835 E 23rd Street,1472.0,1.0,3.0,House,40.605775,-73.949381,Madison,1050000.0
420 Bainbridge Street,2700.0,2.5,5.0,Multi-family,40.68201,-73.92014,Stuyvesant Heights,1395000.0
50 Greenpoint Avenue #5H,1246.0,2.0,3.0,Condo,40.72940063,-73.95899963,Greenpoint,1750000.0
145 Clifton Place,2520.0,3.0,6.0,Multi-family,40.68859863,-73.95829773,Bedford-Stuyvesant,1695000.0
587 18th Street,1680.0,2.0,5.0,Multi-family,40.65613,-73.97977,Windsor Terrace,1650000.0
5301 Avenue L,1036.0,2.0,3.0,House,40.624003,-73.924326,Flatlands,449000.0
433 46th Street,2226.0,4.0,8.0,Multi-family,40.648311,-74.009146,Sunset Park,1388000.0
177 East 51st Street,2950.0,3.0,7.0,Multi-family,40.65776,-73.92972,Northeast Flatbush,699000.0
1005 40th Street,1903.0,3.0,7.0,Multi-family,40.64407,-73.99305,Borough Park,1399999.0
2125 East 24th Street,3840.0,2.5,5.0,Multi-family,40.599216,-73.947198,Homecrest,1438000.0
1526 Hart Place,2160.0,2.5,5.0,House,40.58179,-73.98402,Coney Island,579000.0
556 State Street #3CN,975.0,2.0,2.0,Condo,40.685257,-73.978864,Boerum Hill,1175000.0
35 McDonald Avenue #PH5A,1796.0,2.0,2.0,Condo,40.65420151,-73.98120117,Windsor Terrace,1490000.0
1738 60th Street,4000.0,4.0,11.0,Multi-family,40.62258,-73.98868,Borough Park,2499000.0
865 Montgomery Street,3432.0,4.0,7.0,House,40.66486,-73.936043,Weeksville,3500000.0
197 East 31st Street,2080.0,1.0,5.0,House,40.645897,-73.947784,Flatbush,749000.0
520 East 91st Street,3840.0,3.0,8.0,Multi-family,40.653538,-73.919846,Canarsie,909000.0
4203 7th Avenue,3000.0,3.0,7.0,Multi-family,40.646667,-74.001167,Sunset Park,1698000.0
431 Avenue P #301,2235.0,3.0,3.0,Condo,40.60929871,-73.97129822,Ocean Parkway,1521910.0
2446 85th Street,3034.0,4.0,7.0,Multi-family,40.598976,-73.987785,Gravesend,1680000.0
188 East 53rd Street,3245.0,3.0,5.0,House,40.655281,-73.928024,Northeast Flatbush,1100000.0
631 East 49th Street,975.0,2.0,3.0,House,40.646133,-73.930504,Northeast Flatbush,225000.0
280 Midwood Street,3120.0,2.5,5.0,House,40.659843,-73.951447,Prospect Lefferts Gardens,1449000.0
437 Rutland Rd,1248.0,1.0,2.0,House,40.659901,-73.94622,Wingate,639000.0
1337 Sterling Place,3192.0,2.0,5.0,House,40.671921,-73.934288,Weeksville,1599000.0
