address,area,baths,beds,building type,latitude,longitude,neighborhood,price
120 Greenwich Street #8H,541.0,1.0,1.0,Condo,40.70899963,-74.01339722,Financial District,775000.0
50 Riverside Boulevard #18E,4224.0,6.5,5.0,Condo,40.77399,-73.99135,Lincoln Square,7800000.0
159 W 53rd Street #20E,1277.0,2.0,2.0,Condo,40.76300049,-73.98130035,Midtown,1925000.0
675 Academy Street #1G,1150.0,2.0,2.0,Co-op,40.86700058,-73.92510223,Inwood,659000.0
100 W 39th Street #38E,701.0,1.0,1.0,Condo,40.75279999,-73.98600006,Midtown South,1125000.0
306 East 81st Street,4100.0,3.0,4.0,Multi-family,40.77429962,-73.9536972,Yorkville,5950000.0
455 East 86th Street #14E,746.0,1.0,1.0,Condo,40.77629852,-73.94719696,Yorkville,895000.0
390 West End Avenue #PHK,623.0,1.0,1.0,Condo,40.78369904,-73.98090363,Upper West Side,999999.0
402 East 90th Street #6F,844.0,1.0,1.0,Condo,40.77899933,-73.9469986,Yorkville,849000.0
530 Grand Street #F1H,1250.0,2.0,3.0,Co-op,40.71480179,-73.98059845,Lower East Side,1290000.0
161 West 61st Street #26H,633.0,1.5,1.0,Condo,40.77159882,-73.9858017,Lincoln Square,1250000.0
444 East 86th Street #18J,800.0,1.0,1.0,Co-op,40.77590179,-73.94789886,Yorkville,749000.0
352 West 110th Street #9C,1000.0,2.0,2.0,Condo,40.80080032,-73.96019745,Manhattan Valley,1150000.0
49 Chambers #10E,2975.0,3.5,3.0,Condo,40.71397018,-74.00507355,Tribeca,5575000.0
320 East 83rd Street #5B,710.0,1.0,1.5,Co-op,40.77519989,-73.95220184,Yorkville,549000.0
100 Riverside Boulevard #11E,748.0,1.0,1.0,Condo,40.77590179,-73.98860168,Lincoln Square,1090000.0
1623 Third Avenue #23K,1175.0,2.0,2.0,Condo,40.782265,-73.950832,Yorkville,1595000.0
264 Water Street #4A,1317.0,2.0,3.0,Condo,40.70869827,-74.00170135,Fulton/Seaport,1749999.0
26 Avenue B #3,943.0,2.0,2.0,Condo,40.72240067,-73.98339844,East Village,1575000.0
280 Park Avenue South #7H,811.0,1.0,1.0,Condo,40.73949814,-73.98750305,Flatiron,1490000.0
252 East 57th Street #56B,3007.0,3.5,3.0,Condo,40.75920105,-73.96620178,Sutton Place,8975000.0
460 W 42nd Street #PH3C,2135.0,3.0,4.0,Condo,40.75930023,-73.99530029,Hell's Kitchen,6450000.0
211 East 53rd Street #2F,735000.0,1.0,1.0,Condop,40.75759888,-73.96859741,Sutton Place,735000.0
151 East 58th Street #39A,1975.0,2.5,2.0,Condo,40.76160049,-73.96759796,Sutton Place,8995000.0
555 West 23rd Street #N9B,637.0,1.0,1.0,Condo,40.74900055,-74.0059967,West Chelsea,1080000.0
43 Clarkson Street #PH,5500.0,5.0,5.0,Condo,40.72980118,-74.00800323,West Village,12750000.0
146 West 57th Street #47F,808.0,1.5,1.0,Condo,40.76470184,-73.97930145,Midtown,1600000.0
2322 Adam Clayton Powell Jr Boulevard #4D,760.0,1.0,2.0,Condo,40.81639862,-73.94339752,Central Harlem,600000.0
